ID BRAND,NAMA PRODUK,ID KATEGORI LEVEL 1,ID KATEGORI LEVEL 2,ID KATEGORI LEVEL 3,HARGA,HARGA DISKON,HARGA MODAL,POTONGAN GOLD,POTONGAN SILVER,POTONGAN BRONZE,BERAT,DESKRIPSI,DESKRIPSI SINGKAT
10,Macbeth MB-021,8,9,51,130000,130000,130000,.,.,.,0.5,Macbeth Shoes Sepatu Casual yang keren dan trendy.,Sepatu Casual Macbeth
10,Macbeth MB-022,8,9,51,130000,130000,130000,.,.,.,0.5,Macbeth Shoes Sepatu Casual yang keren dan trendy.,Sepatu Casual Macbeth
10,Macbeth MB-023,8,9,51,130000,130000,130000,.,.,.,0.5,Macbeth Shoes Sepatu Casual yang keren dan trendy.,Sepatu Casual Macbeth
10,Macbeth MB-024,8,9,51,130000,130000,130000,.,.,.,0.5,Macbeth Shoes Sepatu Casual yang keren dan trendy.,Sepatu Casual Macbeth
1,Nike Casual NC-017,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Casual NC-025,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Casual NC-026,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Casual NC-031,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Casual NC-047,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Casual NC-049,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Casual NC-052,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Casual NC-064,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Casual NC-068,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
1,Nike Casual NC-071,8,6,53,150000,150000,150000,.,.,.,1,Sepatu Nike Casual yang cocok untuk formal atau santai.,Sepatu Casual Nike
